2.352, -109.000, -109.228, 2.593, 6.722, 109.228
2.526, -109.500, -109.533, 3.117, 9.717, 109.533
2.568, -109.000, -108.597, 3.243, 10.515, 108.597
2.474, -109.000, -108.906, 2.918, 8.515, 108.906
2.591, -110.000, -109.669, 3.314, 10.983, 109.669
2.632, -109.000, -109.495, 3.478, 12.094, 109.495
2.713, -110.000, -109.319, 3.778, 14.275, 109.319
2.727, -110.000, -109.744, 3.858, 14.886, 109.744
2.975, -108.000, -108.159, 4.875, 23.765, 108.159
2.874, -111.000, -110.082, 4.429, 19.616, 110.082
2.665, -109.000, -108.653, 3.638, 13.238, 108.653
