0.633, 0.173, -113.117, 45.810, 0.000, 1.000, 0.000, 81.000
0.789, 0.073, -110.758, 50.262, 0.000, 1.000, 0.000, 73.000
0.546, 0.002, -111.300, 51.701, 0.000, 1.000, 0.000, 53.000
0.000, 0.000, -113.285, 45.022, 0.000, 0.000, 0.000, 11.000
0.611, 0.021, -110.442, 53.608, 0.000, 1.000, 0.000, 46.000
0.000, 0.000, -109.640, 54.687, 0.000, 0.000, 0.000, 41.000
0.629, 0.052, -112.221, 53.852, 0.000, 2.000, 0.000, 98.000
0.787, 0.213, -111.785, 47.528, 0.000, 1.000, 0.000, 65.000
0.866, 0.000, -111.428, 43.935, 0.000, 0.000, 0.000, 57.000
0.551, 0.026, -111.543, 44.356, 0.000, 1.000, 0.000, 68.000
0.717, 0.170, -109.694, 44.275, 0.000, 1.000, 0.000, 107.000
