Time;II;Pleth
hh:mm:ss.000';mV';mV'
'00:53:21.523';-174;-1.16
'00:53:21.557';-156;0.42
'00:53:21.590';-139;2.64
'00:53:21.590';-123;4.81
'00:53:21.640';-109;7.02
'00:53:21.640';-96;8.48
'00:53:21.690';-87;9
'00:53:21.690';-84;9.84
'00:53:21.690';-85;13.09
'00:53:21.724';-87;17.9
'00:53:21.724';-89;15.64
'00:53:21.774';-93;10.91
'00:53:21.774';-95;6.27
'00:53:21.823';-94;2.76
'00:53:21.823';-93;-5.31
'00:53:21.823';-89;-12.39
'00:53:21.856';-84;136.43
'00:53:21.890';-81;20.51
'00:53:21.890';-79;-53.12
'00:53:21.939';-76;-53.91
'00:53:21.939';-75;-50.01
'00:53:21.939';-76;-43.91
'00:53:21.972';-75;-36.69
'00:53:22.007';-73;-28.56
'00:53:22.007';-71;-17.26
'00:53:22.056';-76;-6.38
'00:53:22.056';-98;3.98
'00:53:22.105';-133;7.74
'00:53:22.105';-170;3.37
'00:53:22.105';-192;-1.17
'00:53:22.155';-198;-3.99
'00:53:22.155';-196;-4.86
'00:53:22.188';-184;-4.22
'00:53:22.188';-169;-3
'00:53:22.222';-153;-1.55
'00:53:22.222';-136;0.14
'00:53:22.257';-121;1.7
'00:53:22.290';-107;3.73
'00:53:22.290';-95;6.24
'00:53:22.324';-89;7.64
'00:53:22.324';-86;9.12
'00:53:22.373';-87;13.34
'00:53:22.373';-91;16.62
'00:53:22.407';-95;12.91
'00:53:22.407';-97;8.05
'00:53:22.440';-96;4.17
'00:53:22.440';-94;2.23
'00:53:22.490';-91;-7
'00:53:22.490';-88;1.54
'00:53:22.523';-84;122.19
'00:53:22.523';-78;9.88
'00:53:22.557';-77;-47.3
'00:53:22.590';-74;-47.04
'00:53:22.590';-72;-43.24
'00:53:22.623';-71;-36.23
'00:53:22.623';-71;-29.66
'00:53:22.657';-71;-22.77
'00:53:22.657';-71;-13.51
'00:53:22.706';-79;1.11
'00:53:22.706';-102;11.8
'00:53:22.757';-138;11.93
'00:53:22.757';-173;7.24
'00:53:22.807';-193;2.5
'00:53:22.807';-198;0.32
'00:53:22.807';-193;-0.22
'00:53:22.857';-178;-0.47
'00:53:22.857';-159;0.16
'00:53:22.890';-140;1.09
'00:53:22.890';-124;2.57
'00:53:22.941';-108;4.12
'00:53:22.941';-95;5.61
'00:53:22.941';-85;6.36
'00:53:22.990';-79;7.37
'00:53:22.990';-77;10.03
'00:53:23.040';-81;15.64
'00:53:23.040';-88;16.29
'00:53:23.040';-93;11.97
'00:53:23.073';-95;8.03
'00:53:23.107';-95;4.83
'00:53:23.107';-93;0.54
'00:53:23.157';-89;-24.3
'00:53:23.157';-85;156.63
'00:53:23.190';-81;73.42
'00:53:23.190';-78;-37.08
'00:53:23.224';-76;-44.39
'00:53:23.224';-74;-39.78
'00:53:23.273';-72;-35.22
'00:53:23.273';-70;-31.16
'00:53:23.323';-69;-27.29
'00:53:23.323';-67;-20.22
'00:53:23.323';-67;-6.63
'00:53:23.357';-81;6.23
'00:53:23.407';-110;9.38
'00:53:23.407';-149;5.24
'00:53:23.407';-179;-0.11
'00:53:23.440';-195;-4.07
'00:53:23.440';-197;-5.93
'00:53:23.490';-188;-5.96
'00:53:23.490';-172;-5.4
'00:53:23.524';-154;-3.77
'00:53:23.524';-136;-0.89
'00:53:23.573';-118;2.38
'00:53:23.573';-101;5.51
'00:53:23.606';-90;7.39
'00:53:23.606';-80;9.51
'00:53:23.640';-75;13.03
'00:53:23.640';-77;18.48
'00:53:23.690';-83;13.82
'00:53:23.690';-91;8.05
'00:53:23.724';-95;4.41
'00:53:23.724';-96;2.35
'00:53:23.773';-95;-3.03
'00:53:23.773';-93;-16.58
'00:53:23.823';-88;161.32
'00:53:23.823';-85;36.76
'00:53:23.823';-81;-50.49
'00:53:23.857';-79;-46.42
'00:53:23.857';-78;-41.64
'00:53:23.907';-77;-37.73
'00:53:23.907';-76;-32.17
'00:53:23.940';-75;-25.49
'00:53:23.940';-74;-16.58
'00:53:23.974';-77;-2.11
'00:53:24.023';-96;10.03
'00:53:24.023';-129;10.67
'00:53:24.023';-164;6.63
'00:53:24.057';-189;1.84
'00:53:24.107';-199;-0.49
'00:53:24.107';-195;-1.12
'00:53:24.107';-185;-0.76
'00:53:24.140';-168;-0.56
'00:53:24.140';-152;0.45
'00:53:24.190';-135;2.05
'00:53:24.190';-120;4.34
'00:53:24.223';-106;5.93
'00:53:24.223';-92;6.95
'00:53:24.257';-85;7.57
'00:53:24.257';-83;9.56
'00:53:24.291';-85;14.79
'00:53:24.340';-90;16.26
'00:53:24.340';-94;10.89
'00:53:24.340';-96;4.74
'00:53:24.373';-96;1.74
'00:53:24.407';-93;0.96
'00:53:24.407';-91;-14.96
'00:53:24.457';-86;101.76
'00:53:24.457';-82;120.48
'00:53:24.457';-77;-2.16
'00:53:24.490';-74;-52.15
'00:53:24.540';-72;-50.31
'00:53:24.540';-70;-45.05
'00:53:24.540';-70;-39.94
'00:53:24.574';-70;-33.91
'00:53:24.623';-71;-26.07
'00:53:24.623';-73;-12.42
'00:53:24.623';-87;3.67
'00:53:24.656';-115;10.84
'00:53:24.656';-153;9.76
'00:53:24.706';-184;5.77
'00:53:24.706';-199;2.29
'00:53:24.756';-202;0.84
'00:53:24.756';-193;0.16
'00:53:24.756';-177;0.72
'00:53:24.791';-158;2.12
'00:53:24.840';-140;3.82
'00:53:24.840';-125;5.13
'00:53:24.840';-111;6.32
'00:53:24.873';-96;7.12
'00:53:24.873';-86;7.64
'00:53:24.923';-82;8.47
'00:53:24.923';-80;11.57
'00:53:24.971';-84;16.74
'00:53:24.971';-90;14.53
'00:53:25.005';-95;9.83
'00:53:25.005';-96;6.17
'00:53:25.038';-95;3.82
'00:53:25.038';-93;-3.04
'00:53:25.073';-89;-17.13
'00:53:25.106';-83;164.14
'00:53:25.106';-78;29.18
'00:53:25.157';-74;-52.36
'00:53:25.157';-71;-52.04
'00:53:25.157';-69;-48.64
'00:53:25.206';-68;-43.39
'00:53:25.206';-67;-37.76
'00:53:25.240';-65;-30.18
'00:53:25.240';-65;-18.88
'00:53:25.273';-72;-3.88
'00:53:25.307';-93;8.97
'00:53:25.307';-126;10.98
'00:53:25.339';-162;6.35
'00:53:25.339';-187;1.86
'00:53:25.373';-198;0
'00:53:25.373';-195;-0.4
'00:53:25.407';-183;-0.28
'00:53:25.456';-166;-0.21
'00:53:25.456';-148;0.43
'00:53:25.456';-129;1.38
'00:53:25.490';-113;3.15
'00:53:25.540';-99;4.56
'00:53:25.540';-87;5.6
'00:53:25.540';-78;5.71
'00:53:25.590';-74;6.24
'00:53:25.590';-78;9.28
'00:53:25.640';-82;12.63
'00:53:25.640';-87;9.95
'00:53:25.640';-89;5.95
'00:53:25.673';-90;2.41
'00:53:25.707';-90;0.9
'00:53:25.707';-85;-7.65
'00:53:25.756';-82;1.53
'00:53:25.756';-79;111.28
'00:53:25.756';-74;3.33
'00:53:25.790';-72;-46.73
'00:53:25.840';-69;-46.96
'00:53:25.840';-68;-42.3
'00:53:25.840';-68;-36.84
'00:53:25.873';-66;-31.35
'00:53:25.873';-65;-24.49
'00:53:25.923';-65;-14.41
'00:53:25.923';-73;-1.99
'00:53:25.973';-96;9.69
'00:53:25.973';-129;10.53
'00:53:25.973';-166;6.93
'00:53:26.023';-191;2.57
'00:53:26.023';-202;0.44
'00:53:26.057';-198;-0.14
'00:53:26.057';-183;-0.1
'00:53:26.106';-165;0.66
'00:53:26.106';-145;2.19
'00:53:26.140';-128;3.83
'00:53:26.140';-113;5.12
'00:53:26.172';-98;6.61
'00:53:26.172';-86;7.66
'00:53:26.206';-78;8.94
'00:53:26.240';-77;10.74
'00:53:26.240';-80;15.67
'00:53:26.274';-87;17.16
'00:53:26.274';-93;13.73
'00:53:26.323';-96;9.67
'00:53:26.323';-97;5.75
'00:53:26.357';-96;1.75
'00:53:26.357';-92;-21.69
'00:53:26.390';-86;124.05
'00:53:26.423';-84;87.39
'00:53:26.423';-81;-26.3
'00:53:26.456';-78;-46.36
'00:53:26.456';-78;-43.11
'00:53:26.490';-77;-37.37
'00:53:26.523';-75;-31.96
'00:53:26.523';-74;-25.28
'00:53:26.573';-73;-17
'00:53:26.573';-73;-4.86
'00:53:26.573';-85;8.53
'00:53:26.623';-112;12.16
'00:53:26.623';-146;8.53
'00:53:26.673';-178;4.1
'00:53:26.673';-196;1.19
'00:53:26.673';-201;0.24
'00:53:26.707';-193;0.16
'00:53:26.756';-176;0.64
'00:53:26.756';-158;1.2
'00:53:26.756';-139;2.51
'00:53:26.790';-122;4.48
'00:53:26.823';-107;7.17
'00:53:26.823';-95;8.95
'00:53:26.857';-86;10.73
'00:53:26.857';-82;13.26
'00:53:26.906';-82;19.53
'00:53:26.906';-87;23.27
'00:53:26.957';-93;17.08
'00:53:26.957';-96;11.31
'00:53:26.957';-96;6.44
'00:53:26.989';-95;4.21
'00:53:27.040';-92;-6.39
'00:53:27.040';-88;34.43
'00:53:27.040';-83;167.55
'00:53:27.090';-79;-5.74
'00:53:27.090';-78;-58.13
'00:53:27.090';-74;-51.13
'00:53:27.123';-74;-46.18
'00:53:27.157';-72;-39.78
'00:53:27.157';-71;-33.98
'00:53:27.206';-72;-27.13
'00:53:27.206';-73;-16.64
'00:53:27.240';-82;-2.72
'00:53:27.240';-105;7.11
'00:53:27.273';-140;8.28
'00:53:27.273';-174;4.76
'00:53:27.323';-197;1.8
'00:53:27.323';-203;0.19
'00:53:27.358';-198;-0.98
'00:53:27.358';-186;-1.32
'00:53:27.407';-168;-1.23
'00:53:27.407';-150;0.11
'00:53:27.456';-133;1.89
'00:53:27.456';-117;4.05
'00:53:27.456';-105;5.74
'00:53:27.490';-95;7.18
'00:53:27.540';-87;8.1
'00:53:27.540';-83;9.54
'00:53:27.540';-84;14.56
'00:53:27.573';-88;18.33
'00:53:27.573';-92;14.12
'00:53:27.623';-96;9.87
'00:53:27.623';-96;5.22
'00:53:27.669';-93;3.18
'00:53:27.669';-87;-8.71
'00:53:27.716';-83;42.14
'00:53:27.716';-79;142.41
'00:53:27.716';-75;-15.48
'00:53:27.762';-74;-49.94
'00:53:27.762';-71;-46.73
'00:53:27.809';-68;-41.56
'00:53:27.809';-67;-36.15
'00:53:27.809';-66;-30.43
'00:53:27.857';-65;-22.4
'00:53:27.857';-66;-10.78
'00:53:27.902';-76;2.39
'00:53:27.902';-100;12.05
'00:53:27.949';-132;10.78
'00:53:27.949';-168;7.03
'00:53:27.949';-192;4.34
'00:53:27.997';-199;2.95
'00:53:27.997';-195;2.61
'00:53:28.044';-183;2.44
'00:53:28.044';-165;2.34
'00:53:28.091';-150;2.47
'00:53:28.091';-133;3.07
'00:53:28.137';-118;4
'00:53:28.137';-103;4.87
'00:53:28.137';-92;5.61
'00:53:28.185';-86;6.17
'00:53:28.185';-84;6.81
'00:53:28.221';-86;9.33
'00:53:28.221';-91;13.74
'00:53:28.257';-96;11.69
'00:53:28.257';-98;7.52
'00:53:28.306';-97;4.17
'00:53:28.306';-95;2.34
'00:53:28.340';-92;-3.16
'00:53:28.340';-87;-25.28
'00:53:28.388';-84;184.26
'00:53:28.388';-80;46.36
'00:53:28.388';-76;-49.5
'00:53:28.423';-74;-50.87
'00:53:28.473';-74;-48.38
'00:53:28.473';-73;-43.46
'00:53:28.473';-74;-36.99
'00:53:28.506';-73;-29.58
'00:53:28.556';-72;-20.3
'00:53:28.556';-77;-7.56
'00:53:28.556';-95;3.88
'00:53:28.606';-124;7.17
'00:53:28.606';-160;3.64
'00:53:28.656';-188;0.6
'00:53:28.656';-198;-1.39
'00:53:28.656';-197;-1.63
'00:53:28.689';-185;-1.15
'00:53:28.722';-168;-0.61
'00:53:28.722';-149;0.47
'00:53:28.773';-131;2.4
'00:53:28.773';-116;5.06
'00:53:28.773';-100;6.86
'00:53:28.823';-90;7.62
'00:53:28.823';-82;8.03
'00:53:28.856';-78;8.53
'00:53:28.856';-80;9.58
'00:53:28.905';-83;13.47
'00:53:28.905';-90;15.24
'00:53:28.940';-95;11.17
'00:53:28.940';-96;6.31
'00:53:28.990';-95;3.29
'00:53:28.990';-91;1.41
'00:53:28.990';-86;-18.4
'00:53:29.023';-83;118.25
'00:53:29.056';-81;89.97
'00:53:29.056';-78;-19.03
'00:53:29.106';-76;-43.87
'00:53:29.106';-73;-40.88
'00:53:29.155';-71;-35.25
'00:53:29.155';-70;-30.45
'00:53:29.155';-68;-24.72
'00:53:29.189';-68;-16.59
'00:53:29.223';-68;-4.83
'00:53:29.223';-79;8.42
'00:53:29.256';-105;14.1
'00:53:29.256';-141;9.63
'00:53:29.290';-174;3.32
'00:53:29.290';-195;0.5
'00:53:29.339';-201;-1.07
'00:53:29.339';-194;-1.04
'00:53:29.373';-178;-1.03
'00:53:29.373';-159;-0.16
'00:53:29.407';-140;1.74
'00:53:29.440';-122;3.9
'00:53:29.440';-106;5.63
'00:53:29.473';-92;6.77
'00:53:29.473';-82;7.47
'00:53:29.523';-78;8.72
'00:53:29.523';-79;9.94
'00:53:29.557';-82;14.6
'00:53:29.557';-88;18.22
'00:53:29.606';-93;14.14
'00:53:29.606';-95;9.94
'00:53:29.656';-95;7.16
'00:53:29.656';-95;5.81
'00:53:29.656';-91;-5.64
'00:53:29.689';-87;51.82
'00:53:29.689';-81;126.27
'00:53:29.739';-80;-15.89
'00:53:29.739';-76;-48.82
'00:53:29.789';-76;-44.11
'00:53:29.789';-76;-39.56
'00:53:29.789';-77;-33.23
'00:53:29.823';-78;-27.25
'00:53:29.872';-76;-20.75
'00:53:29.872';-76;-11.14
'00:53:29.872';-85;2.75
'00:53:29.906';-110;11.57
'00:53:29.940';-142;11.22
'00:53:29.940';-175;8.01
'00:53:29.989';-197;5.51
'00:53:29.989';-205;4.11
'00:53:29.989';-200;3.37
'00:53:30.038';-188;3.26
'00:53:30.038';-172;3.67
'00:53:30.071';-155;4.39
'00:53:30.071';-138;5.65
'00:53:30.106';-122;6.52
'00:53:30.140';-106;7.16
'00:53:30.140';-94;7.85
'00:53:30.189';-87;8.12
'00:53:30.189';-85;8.31
'00:53:30.189';-87;9.92
'00:53:30.223';-92;14.32
'00:53:30.273';-97;14.19
'00:53:30.273';-99;10.26
'00:53:30.273';-98;5.66
'00:53:30.323';-95;2.1
'00:53:30.323';-92;-3.81
'00:53:30.356';-88;-24.82
'00:53:30.356';-81;187.65
'00:53:30.406';-76;42.6
'00:53:30.406';-74;-57.52
'00:53:30.454';-72;-59.79
'00:53:30.454';-73;-55.64
'00:53:30.454';-73;-48.51
'00:53:30.487';-71;-41.69
'00:53:30.521';-69;-35.25
'00:53:30.521';-70;-25.86
'00:53:30.571';-74;-11.61
'00:53:30.571';-91;0.84
'00:53:30.571';-121;5.54
'00:53:30.606';-156;2.61
'00:53:30.656';-185;-0.38
'00:53:30.656';-200;-2.36
'00:53:30.656';-199;-2.61
'00:53:30.689';-188;-2.14
'00:53:30.689';-170;-1.6
'00:53:30.738';-153;-0.29
'00:53:30.738';-134;1.93
'00:53:30.773';-119;3.93
'00:53:30.773';-106;5.68
'00:53:30.806';-93;6.82
'00:53:30.806';-84;7.5
'00:53:30.839';-78;7.64
'00:53:30.873';-79;7.94
'00:53:30.873';-82;9.99
'00:53:30.906';-85;13.76
'00:53:30.940';-89;12.66
'00:53:30.940';-92;9.05
'00:53:30.972';-91;5.33
'00:53:30.972';-89;1.67
'00:53:31.023';-85;-3.98
'00:53:31.023';-82;-25.11
'00:53:31.071';-79;184.04
'00:53:31.071';-76;52.1
'00:53:31.071';-74;-46.06
'00:53:31.106';-74;-52.41
'00:53:31.106';-72;-47.3
'00:53:31.139';-71;-41.33
'00:53:31.173';-70;-35.33
'00:53:31.173';-70;-28.26
'00:53:31.221';-69;-18.16
'00:53:31.221';-73;-5.26
'00:53:31.256';-89;6.71
'00:53:31.256';-119;10.79
'00:53:31.306';-154;7.81
'00:53:31.306';-185;4.31
'00:53:31.306';-200;2.84
'00:53:31.356';-201;1.79
'00:53:31.356';-192;1.21
'00:53:31.389';-175;0.88
'00:53:31.389';-156;2.09
'00:53:31.439';-136;3.64
'00:53:31.439';-118;5.22
'00:53:31.472';-104;6.4
'00:53:31.472';-90;6.88
'00:53:31.523';-81;7.43
'00:53:31.523';-78;7.8
'00:53:31.556';-79;8.06
'00:53:31.556';-83;10.58
'00:53:31.606';-88;13.49
'00:53:31.606';-91;10.31
'00:53:31.639';-92;5.27
'00:53:31.639';-91;1.32
'00:53:31.689';-89;-1.62
'00:53:31.689';-86;-9.99
'00:53:31.689';-82;-15.03
'00:53:31.723';-79;100.92
'00:53:31.773';-75;18.78
'00:53:31.773';-71;-44.12
'00:53:31.773';-70;-45.77
'00:53:31.823';-69;-41.8
'00:53:31.823';-70;-36.19
'00:53:31.856';-69;-28.96
'00:53:31.856';-68;-22.91
'00:53:31.906';-70;-12.77
'00:53:31.906';-74;-1.36
'00:53:31.906';-89;7.14
'00:53:31.939';-118;8.85
'00:53:31.973';-151;4.57
'00:53:31.973';-181;1.06
'00:53:32.021';-196;-0.76
'00:53:32.021';-198;-0.85
'00:53:32.056';-186;-0.61
'00:53:32.056';-169;0.24
'00:53:32.090';-150;1.64
'00:53:32.090';-129;3.12
'00:53:32.139';-113;5.17
'00:53:32.139';-99;6.79
'00:53:32.172';-87;7.85
'00:53:32.172';-79;8.81
'00:53:32.206';-76;9.44
'00:53:32.206';-78;10.88
'00:53:32.256';-85;15.21
'00:53:32.256';-91;18.48
'00:53:32.290';-96;14.43
'00:53:32.290';-100;9.7
'00:53:32.338';-101;6.47
'00:53:32.338';-98;4.93
'00:53:32.389';-92;-5.92
'00:53:32.389';-87;59.32
'00:53:32.389';-83;121.29
'00:53:32.424';-79;-10.39
'00:53:32.424';-78;-42.7
'00:53:32.473';-75;-39.72
'00:53:32.473';-75;-34.09
'00:53:32.506';-74;-27.27
'00:53:32.506';-73;-22.21
'00:53:32.556';-73;-15.95
'00:53:32.556';-73;-5.86
'00:53:32.606';-81;6.79
'00:53:32.606';-102;14.75
'00:53:32.606';-134;13.71
'00:53:32.639';-167;8.91
'00:53:32.672';-193;4.71
'00:53:32.672';-203;2.49
'00:53:32.705';-201;1.88
'00:53:32.705';-188;1.92
'00:53:32.739';-169;1.94
'00:53:32.772';-151;2.54
'00:53:32.772';-134;3.66
'00:53:32.806';-118;5.43
'00:53:32.806';-103;6.48
'00:53:32.840';-93;7.49
'00:53:32.889';-84;7.91
'00:53:32.889';-82;8.17
'00:53:32.889';-84;8.99
'00:53:32.923';-90;12.39
'00:53:32.923';-95;13.34
'00:53:32.972';-97;9.78
'00:53:32.972';-98;5.46
'00:53:33.023';-98;2.53
'00:53:33.023';-95;0.59
'00:53:33.073';-92;-19.57
'00:53:33.073';-86;123.41
'00:53:33.073';-83;93.02
'00:53:33.123';-79;-22.85
'00:53:33.123';-77;-53.52
'00:53:33.173';-78;-49.11
'00:53:33.173';-78;-44.06
'00:53:33.173';-77;-37.35
'00:53:33.222';-75;-30.65
'00:53:33.222';-75;-22.62
'00:53:33.268';-75;-10.2
'00:53:33.268';-86;4.76
'00:53:33.268';-111;11.74
'00:53:33.304';-143;9.57
'00:53:33.304';-173;5.33
'00:53:33.338';-192;2.85
'00:53:33.372';-198;2.08
'00:53:33.372';-192;1.72
'00:53:33.406';-178;1.8
'00:53:33.406';-161;2.27
'00:53:33.439';-146;3.47
'00:53:33.473';-131;4.83
'00:53:33.473';-116;5.99
'00:53:33.522';-103;7.12
'00:53:33.522';-92;7.94
'00:53:33.522';-85;8.49
'00:53:33.556';-83;8.86
'00:53:33.606';-84;10.86
'00:53:33.606';-87;14.74
'00:53:33.606';-91;12.82
'00:53:33.656';-95;8.02
'00:53:33.656';-96;3.86
'00:53:33.689';-93;1.59
'00:53:33.689';-91;-3.98
'00:53:33.722';-86;-27.58
'00:53:33.722';-81;182.38
'00:53:33.755';-79;53.91
'00:53:33.806';-75;-46.71
'00:53:33.806';-73;-52.48
'00:53:33.806';-70;-47.4
'00:53:33.840';-70;-40.89
'00:53:33.840';-69;-34.46
'00:53:33.889';-68;-28.25
'00:53:33.889';-68;-18.44
'00:53:33.939';-71;-3.1
'00:53:33.939';-85;11.27
'00:53:33.972';-112;14.48
'00:53:33.972';-145;9.24
'00:53:34.022';-174;4.06
'00:53:34.022';-192;1.5
'00:53:34.022';-196;0.85
'00:53:34.072';-186;0.57
'00:53:34.072';-171;0.68
'00:53:34.105';-154;1.18
'00:53:34.105';-135;1.78
'00:53:34.139';-119;2.67
'00:53:34.173';-101;3.91
'00:53:34.173';-88;5.25
'00:53:34.222';-79;6.31
'00:53:34.222';-74;7.07
'00:53:34.222';-75;8.1
'00:53:34.256';-79;12.36
'00:53:34.289';-83;14.26
'00:53:34.289';-88;10.41
'00:53:34.323';-92;5.49
'00:53:34.323';-91;2.37
'00:53:34.372';-89;0
'00:53:34.372';-87;-18.2
'00:53:34.406';-82;84.04
'00:53:34.406';-80;98.66
'00:53:34.440';-76;1.05
'00:53:34.489';-75;-40.98
'00:53:34.489';-74;-38.49
'00:53:34.489';-73;-34.07
'00:53:34.523';-71;-27.66
'00:53:34.523';-71;-22
'00:53:34.555';-70;-15.2
'00:53:34.606';-71;-4.17
'00:53:34.606';-76;7.76
'00:53:34.606';-97;13.72
'00:53:34.639';-126;11.11
'00:53:34.689';-156;6.12
'00:53:34.689';-175;2.17
'00:53:34.689';-185;1.15
'00:53:34.723';-183;1.46
'00:53:34.723';-170;1.61
'00:53:34.772';-156;2.39
'00:53:34.772';-138;3.71
'00:53:34.822';-123;5.13
'00:53:34.822';-111;6.26
'00:53:34.822';-99;7.04
'00:53:34.856';-87;7.57
'00:53:34.889';-80;8.16
'00:53:34.889';-80;9.75
'00:53:34.939';-81;14.31
'00:53:34.939';-86;13.75
'00:53:34.972';-92;9.62
'00:53:34.972';-95;5.53
'00:53:35.022';-96;3.02
'00:53:35.022';-95;-1.13
'00:53:35.022';-92;-22.36
'00:53:35.056';-89;162.33
'00:53:35.106';-86;63.17
'00:53:35.106';-84;-48.7
'00:53:35.106';-80;-48.98
'00:53:35.156';-77;-45.09
'00:53:35.156';-76;-39.91
'00:53:35.189';-77;-33.01
'00:53:35.189';-75;-24.86
'00:53:35.223';-74;-15.15
'00:53:35.223';-76;-2.31
'00:53:35.272';-87;10.32
'00:53:35.272';-111;14.05
'00:53:35.306';-143;10.47
'00:53:35.306';-172;6.08
'00:53:35.339';-191;3.19
'00:53:35.339';-197;2.24
'00:53:35.389';-192;1.81
'00:53:35.389';-179;1.87
'00:53:35.422';-162;2.56
'00:53:35.422';-145;3.79
'00:53:35.456';-128;5.13
'00:53:35.506';-114;6.51
'00:53:35.506';-100;7.24
'00:53:35.506';-90;7.99
'00:53:35.540';-84;9.53
'00:53:35.540';-83;14.6
'00:53:35.572';-87;17
'00:53:35.622';-93;12.13
'00:53:35.622';-98;6.88
'00:53:35.622';-100;3.44
'00:53:35.656';-103;1.41
'00:53:35.706';-99;-13.87
'00:53:35.706';-95;83.46
'00:53:35.706';-92;114.97
'00:53:35.739';-86;-15.01
'00:53:35.772';-85;-52.3
'00:53:35.772';-83;-47.94
'00:53:35.806';-80;-41.84
'00:53:35.806';-77;-34.93
'00:53:35.856';-75;-27.8
'00:53:35.856';-74;-21.21
'00:53:35.888';-73;-10.12
'00:53:35.888';-81;6.8
'00:53:35.936';-102;16.02
'00:53:35.936';-132;12.92
'00:53:35.936';-161;7.18
'00:53:35.971';-184;3.49
'00:53:36.006';-195;1.86
'00:53:36.006';-194;1.14
'00:53:36.055';-184;1.09
'00:53:36.055';-168;1.07
'00:53:36.087';-153;2.04
'00:53:36.087';-137;3.16
'00:53:36.137';-122;4.39
'00:53:36.137';-107;5.65
'00:53:36.137';-97;6.6
'00:53:36.172';-88;7.26
'00:53:36.223';-85;8.22
'00:53:36.223';-85;12.57
'00:53:36.223';-89;13.97
'00:53:36.256';-94;10.79
'00:53:36.256';-97;6.85
'00:53:36.306';-97;4.26
'00:53:36.306';-97;2.5
'00:53:36.356';-93;-15.83
'00:53:36.356';-90;116.81
'00:53:36.389';-87;101.12
'00:53:36.389';-85;-3.99
'00:53:36.438';-83;-47.15
'00:53:36.438';-81;-44.51
'00:53:36.438';-79;-40.04
'00:53:36.472';-77;-34.6
'00:53:36.523';-76;-27.68
'00:53:36.523';-75;-19.67
'00:53:36.523';-74;-8.38
'00:53:36.557';-84;4.46
'00:53:36.589';-108;12.04
'00:53:36.589';-136;9.09
'00:53:36.639';-162;4.83
'00:53:36.639';-180;1.13
'00:53:36.639';-189;-0.3
'00:53:36.672';-186;-0.56
'00:53:36.705';-176;-0.69
'00:53:36.705';-160;-0.07
'00:53:36.755';-148;1.08
'00:53:36.755';-132;2.58
'00:53:36.789';-118;3.57
'00:53:36.789';-105;4.52
'00:53:36.823';-93;6.02
'00:53:36.823';-86;6.9
'00:53:36.872';-85;8.32
'00:53:36.872';-89;13.84
'00:53:36.921';-91;15.75
'00:53:36.921';-95;11.91
'00:53:36.921';-96;7.57
'00:53:36.956';-96;4.05
'00:53:36.990';-95;2.23
'00:53:36.990';-94;-15.68
'00:53:37.039';-91;97.86
'00:53:37.039';-88;126.61
'00:53:37.039';-84;0.26
'00:53:37.090';-83;-47.45
'00:53:37.090';-79;-43.66
'00:53:37.139';-78;-38.34
'00:53:37.139';-78;-32.96
'00:53:37.139';-78;-26.81
'00:53:37.172';-78;-17.9
'00:53:37.222';-80;-6.8
'00:53:37.222';-90;5.66
'00:53:37.222';-112;11.1
'00:53:37.255';-140;8.32
'00:53:37.255';-169;2.76
'00:53:37.305';-190;-2.14
'00:53:37.305';-197;-3.56
'00:53:37.356';-192;-3.73
'00:53:37.356';-179;-2.94
'00:53:37.406';-162;-1.34
'00:53:37.406';-146;1.46
'00:53:37.406';-131;3.87
'00:53:37.439';-116;5.81
'00:53:37.439';-103;7.7
'00:53:37.489';-92;8.87
'00:53:37.489';-86;9.23
'00:53:37.522';-85;9.96
'00:53:37.522';-86;12.99
'00:53:37.556';-91;17.28
'00:53:37.556';-95;14.08
'00:53:37.589';-97;8.86
'00:53:37.622';-96;5.03
'00:53:37.622';-95;2.22
'00:53:37.672';-93;-4.71
'00:53:37.672';-89;-21.25
'00:53:37.720';-88;156.52
'00:53:37.720';-83;38.4
'00:53:37.720';-80;-44.5
'00:53:37.766';-77;-44.95
'00:53:37.766';-76;-41.57
'00:53:37.813';-73;-36.34
'00:53:37.813';-71;-29.76
'00:53:37.861';-71;-22.93
'00:53:37.861';-70;-13.08
'00:53:37.861';-75;0.28
'00:53:37.908';-87;11.98
'00:53:37.908';-113;11.99
'00:53:37.956';-141;7.28
'00:53:37.956';-170;1.58
'00:53:37.956';-188;-2.27
'00:53:38.002';-193;-3.56
'00:53:38.002';-187;-4.47
'00:53:38.048';-172;-4.01
'00:53:38.048';-156;-2.4
'00:53:38.094';-140;0.42
'00:53:38.094';-125;3.57
'00:53:38.094';-110;5.78
'00:53:38.141';-99;7.02
'00:53:38.141';-90;8.02
'00:53:38.188';-87;8.63
'00:53:38.188';-88;10.86
'00:53:38.234';-90;16.18
'00:53:38.234';-95;17.48
'00:53:38.234';-100;13.95
'00:53:38.271';-104;10.61
'00:53:38.305';-103;8.2
'00:53:38.305';-101;5.31
'00:53:38.339';-98;-11.57
'00:53:38.339';-94;92.4
'00:53:38.372';-88;106.71
'00:53:38.405';-83;2.42
'00:53:38.405';-82;-42.93
'00:53:38.454';-80;-39.61
'00:53:38.454';-78;-34.95
'00:53:38.505';-77;-30.97
'00:53:38.505';-75;-25.3
'00:53:38.505';-76;-17.5
'00:53:38.539';-77;-6.51
'00:53:38.539';-86;7.54
'00:53:38.572';-106;15.89
'00:53:38.606';-136;12.95
