Time;II;Pleth
hh:mm:ss.000';mV';mV'
'00:53:08.407';-89;1.83
'00:53:08.440';-86;0.6
'00:53:08.440';-82;-14.63
'00:53:08.491';-78;76.53
'00:53:08.491';-76;105.08
'00:53:08.542';-74;-4
'00:53:08.542';-72;-46.38
'00:53:08.542';-71;-43.55
'00:53:08.592';-70;-39.56
'00:53:08.592';-70;-33.04
'00:53:08.818';-69;-27.7
'00:53:08.818';-67;-20.12
'00:53:08.818';-66;-6.61
'00:53:08.818';-69;8.89
'00:53:08.818';-86;15.85
'00:53:08.818';-115;12.45
'00:53:08.818';-152;6.49
'00:53:08.818';-178;2.09
'00:53:08.818';-190;0.58
'00:53:08.818';-186;0.35
'00:53:08.836';-175;0.25
'00:53:08.836';-160;0.66
'00:53:08.873';-145;1.8
'00:53:08.873';-129;3.09
'00:53:08.910';-115;5.25
'00:53:08.910';-103;6.81
'00:53:08.952';-91;7.85
'00:53:08.952';-86;8.2
'00:53:08.991';-88;8.15
'00:53:08.991';-89;8.93
'00:53:09.040';-95;11.59
'00:53:09.040';-101;15.65
'00:53:09.040';-106;13.26
'00:53:09.218';-108;9.97
'00:53:09.218';-107;6.19
'00:53:09.218';-104;3.89
'00:53:09.238';-99;-4.12
'00:53:09.238';-94;14.52
'00:53:09.238';-90;155.51
'00:53:09.238';-87;5.15
'00:53:09.238';-85;-51.46
'00:53:09.238';-83;-44.98
'00:53:09.268';-83;-40.17
'00:53:09.268';-84;-34.36
'00:53:09.307';-84;-29.98
'00:53:09.307';-83;-25.09
'00:53:09.357';-84;-15.64
'00:53:09.357';-88;-1.1
'00:53:09.357';-103;11.05
'00:53:09.407';-129;11.67
'00:53:09.407';-164;7.22
'00:53:09.458';-190;2.03
'00:53:09.458';-202;-0.46
'00:53:09.508';-201;-1.12
'00:53:09.508';-193;-1.08
'00:53:09.508';-177;-1.06
'00:53:09.543';-161;0.16
'00:53:09.543';-145;2.08
'00:53:09.595';-131;4.79
'00:53:09.595';-119;7.42
'00:53:09.595';-105;9.19
'00:53:09.641';-95;9.84
'00:53:09.641';-91;10.19
'00:53:09.674';-89;12.14
'00:53:09.724';-93;17.02
'00:53:09.724';-99;14.8
'00:53:09.724';-102;9.68
'00:53:09.774';-104;5.06
'00:53:09.774';-103;1.64
'00:53:09.822';-99;-4.98
'00:53:09.822';-94;-24.5
'00:53:09.822';-88;183.92
'00:53:09.867';-85;40.65
'00:53:09.867';-80;-55.7
'00:53:09.902';-76;-55.97
'00:53:09.902';-73;-51.14
'00:53:09.936';-70;-45.17
'00:53:09.936';-70;-38.3
'00:53:09.973';-70;-29.93
'00:53:10.022';-70;-20.68
'00:53:10.022';-74;-5.85
'00:53:10.022';-87;8.24
'00:53:10.076';-115;12.13
'00:53:10.076';-150;7.42
'00:53:10.123';-178;3.24
'00:53:10.123';-193;1.21
'00:53:10.123';-195;0.72
'00:53:10.171';-187;0.5
'00:53:10.171';-171;0.62
