Time;Pleth;II
hh:mm:ss.000';mv';mV'
'20:56:14.511';-164;4.63
'20:56:14.511';-149;5.67
'20:56:14.561';-135;6.49
'20:56:14.561';-122;6.95
'20:56:14.597';-110;7.22
'20:56:14.597';-97;7.39
'20:56:14.647';-85;7.7
'20:56:14.647';-78;8.12
'20:56:14.695';-77;8.29
'20:56:14.695';-80;8.4
'20:56:14.695';-85;8.49
'20:56:14.729';-89;9.39
'20:56:14.729';-90;11.37
'20:56:14.763';-89;11.54
'20:56:14.796';-86;9.37
'20:56:14.796';-80;7.72
'20:56:14.836';-73;6.2
'20:56:14.836';-67;4.85
'20:56:14.894';-61;3.96
'20:56:14.894';-57;2.54
'20:56:14.894';-55;-7.24
'20:56:14.933';-54;40.58
'20:56:14.933';-55;92.32
'20:56:14.996';-56;39.74
'20:56:14.996';-57;-9.03
'20:56:14.996';-56;-32
'20:56:15.031';-53;-32
'20:56:15.031';-51;-29.41
'20:56:15.079';-51;-25.16
'20:56:15.079';-52;-15.99
'20:56:15.113';-53;-3.85
'20:56:15.113';-64;5.68
'20:56:15.148';-111;8.34
'20:56:15.196';-185;4.43
'20:56:15.196';-236;-1.31
'20:56:15.196';-261;-4.71
'20:56:15.230';-264;-6.22
'20:56:15.230';-253;-6.52
'20:56:15.279';-232;-6.08
'20:56:15.279';-208;-5.06
'20:56:15.313';-185;-3.48
'20:56:15.313';-163;-1.86
'20:56:15.363';-143;-0.34
'20:56:15.363';-128;0.72
'20:56:15.397';-115;2.59
'20:56:15.397';-102;4.03
'20:56:15.433';-90;4.98
'20:56:15.433';-80;5.57
'20:56:15.468';-73;5.68
'20:56:15.468';-73;5.11
'20:56:15.513';-77;3.59
'20:56:15.513';-80;-0.57
'20:56:15.563';-83;-2.78
'20:56:15.563';-82;-4.79
'20:56:15.596';-81;-7.82
'20:56:15.596';-77;-9.1
'20:56:15.645';-74;-9.76
'20:56:15.645';-68;-12.16
'20:56:15.680';-64;-14.19
'20:56:15.680';-62;-14.83
'20:56:15.713';-59;-19.9
'20:56:15.713';-56;-18.61
'20:56:15.746';-55;42.9
'20:56:15.795';-54;69.86
'20:56:15.795';-55;24.68
'20:56:15.795';-54;-13.75
'20:56:15.844';-54;-22.2
'20:56:15.844';-53;-19.57
'20:56:15.844';-51;-13.66
'20:56:15.877';-51;-3.54
'20:56:15.912';-50;10.69
'20:56:15.912';-56;21.61
'20:56:15.946';-85;27.6
'20:56:15.983';-156;25.61
'20:56:15.983';-219;18.91
'20:56:15.983';-255;9.01
'20:56:16.030';-265;4.19
'20:56:16.030';-261;4.09
'20:56:16.079';-246;5.1
'20:56:16.079';-225;5.69
'20:56:16.129';-200;6.85
'20:56:16.129';-176;7.44
'20:56:16.129';-156;7.84
'20:56:16.177';-138;8.1
'20:56:16.177';-123;8.08
'20:56:16.212';-109;8.4
'20:56:16.212';-93;8.5
'20:56:16.246';-80;8.58
'20:56:16.246';-72;8.64
'20:56:16.295';-69;8.68
'20:56:16.295';-71;8.72
'20:56:16.344';-73;8.75
'20:56:16.344';-78;8.97
'20:56:16.344';-81;9.08
'20:56:16.380';-81;9.92
'20:56:16.414';-80;10.73
'20:56:16.414';-76;10.2
'20:56:16.461';-71;9.37
'20:56:16.461';-64;7.97
'20:56:16.499';-60;6.66
'20:56:16.499';-56;5.06
'20:56:16.544';-52;3.81
'20:56:16.544';-50;-2.17
'20:56:16.544';-50;-8.72
'20:56:16.577';-49;74.9
'20:56:16.613';-51;70.5
'20:56:16.613';-51;31.28
'20:56:16.662';-53;-22.12
'20:56:16.662';-58;-34.06
'20:56:16.696';-59;-30.66
'20:56:16.696';-60;-26.3
'20:56:16.729';-60;-18.41
'20:56:16.729';-62;-6.42
'20:56:16.779';-65;4.69
'20:56:16.779';-88;11.25
'20:56:16.813';-156;9.98
'20:56:16.813';-223;5.5
'20:56:16.864';-260;0.19
'20:56:16.864';-272;-3.89
'20:56:16.910';-266;-5.84
'20:56:16.910';-249;-5.91
'20:56:16.910';-224;-5.06
'20:56:16.944';-195;-5.86
'20:56:16.980';-170;-4.6
'20:56:16.980';-150;-2.76
'20:56:17.019';-133;-0.62
'20:56:17.019';-120;2.37
'20:56:17.054';-108;6.15
'20:56:17.054';-95;9.13
'20:56:17.096';-83;11.19
'20:56:17.096';-78;12.27
'20:56:17.129';-78;11.19
'20:56:17.129';-81;10.52
'20:56:17.164';-87;10.65
'20:56:17.164';-92;12.28
'20:56:17.213';-93;13.31
'20:56:17.213';-93;10.47
'20:56:17.261';-89;7.79
'20:56:17.261';-84;4.79
'20:56:17.295';-78;2.84
'20:56:17.295';-72;1.77
'20:56:17.344';-69;1.2
'20:56:17.344';-65;-5.23
'20:56:17.344';-63;-1.29
'20:56:17.379';-61;64.1
'20:56:17.412';-60;57.89
'20:56:17.412';-60;21.99
'20:56:17.446';-59;-21.6
'20:56:17.479';-60;-32.83
'20:56:17.479';-59;-31.62
'20:56:17.513';-61;-28.71
'20:56:17.513';-61;-22.93
'20:56:17.548';-61;-13.46
'20:56:17.548';-66;-3.73
'20:56:17.583';-97;0.99
'20:56:17.630';-168;-0.05
'20:56:17.630';-228;-5.78
'20:56:17.630';-259;-13.23
'20:56:17.664';-269;-15.86
'20:56:17.664';-263;-15.92
'20:56:17.697';-246;-14.38
'20:56:17.745';-222;-12.35
'20:56:17.745';-196;-9.49
'20:56:17.745';-173;-5.44
'20:56:17.779';-154;-3.04
'20:56:17.828';-138;-1.4
'20:56:17.828';-126;-0.17
'20:56:17.828';-113;1.2
'20:56:17.880';-101;2.72
'20:56:17.880';-90;3.76
'20:56:17.927';-83;4.43
'20:56:17.927';-80;4.85
'20:56:17.927';-84;5.12
'20:56:17.961';-88;5.3
'20:56:17.996';-92;5.8
'20:56:17.996';-91;7.36
'20:56:18.030';-90;9.84
'20:56:18.030';-85;9.89
'20:56:18.066';-81;8.14
'20:56:18.066';-76;6.3
'20:56:18.099';-70;4.89
'20:56:18.134';-63;3.65
'20:56:18.134';-59;2.84
'20:56:18.181';-57;2.33
'20:56:18.181';-54;-5.71
'20:56:18.229';-53;43.88
'20:56:18.229';-53;95.56
'20:56:18.229';-54;35.06
'20:56:18.276';-56;-13.91
'20:56:18.276';-58;-31.03
'20:56:18.310';-60;-30.29
'20:56:18.310';-62;-27.51
'20:56:18.344';-63;-23.52
'20:56:18.344';-63;-16.09
'20:56:18.379';-64;-5.71
'20:56:18.429';-76;2.69
'20:56:18.429';-129;5.24
