Time;Pleth;II
hh:mm:ss.000';mV';mV'
'21:01:36.753';-52;-22.38
'21:01:36.753';-53;-11.45
'21:01:36.787';-70;-1.32
'21:01:36.787';-131;3.22
'21:01:36.822';-205;1.55
'21:01:36.856';-250;-1.52
'21:01:36.856';-268;-2.97
'21:01:36.906';-265;-2.98
'21:01:36.906';-250;-2.19
'21:01:36.906';-225;-1.12
'21:01:36.953';-196;0.51
'21:01:36.953';-167;2.76
'21:01:37.003';-142;4.57
'21:01:37.003';-118;5.75
'21:01:37.037';-100;6.78
'21:01:37.037';-85;7.43
'21:01:37.071';-71;7.85
'21:01:37.071';-58;8.12
'21:01:37.106';-48;8.09
'21:01:37.106';-47;7.9
'21:01:37.142';-55;7.76
'21:01:37.189';-69;7.5
'21:01:37.189';-81;7.42
'21:01:37.189';-91;7.5
'21:01:37.237';-97;8.32
'21:01:37.237';-95;8.95
'21:01:37.287';-91;7.44
'21:01:37.287';-87;5.8
'21:01:37.287';-82;3.5
'21:01:37.337';-75;1.95
'21:01:37.337';-70;0.97
'21:01:37.386';-65;0.38
'21:01:37.386';-62;-6.88
'21:01:37.386';-60;13.46
'21:01:37.422';-58;97.72
'21:01:37.455';-59;49.3
'21:01:37.455';-61;-1.21
'21:01:37.490';-63;-27.54
'21:01:37.490';-64;-31.01
'21:01:37.539';-65;-28.89
'21:01:37.539';-66;-24.68
'21:01:37.573';-67;-17.49
'21:01:37.573';-67;-8.57
'21:01:37.621';-85;1.19
'21:01:37.621';-147;5.34
'21:01:37.656';-218;2.64
'21:01:37.656';-263;-2.45
'21:01:37.690';-282;-6.61
'21:01:37.690';-284;-8.22
'21:01:37.738';-273;-8.13
'21:01:37.738';-252;-6.39
'21:01:37.788';-225;-4.7
'21:01:37.788';-195;-3.82
'21:01:37.788';-169;-2.7
'21:01:37.823';-147;-1.92
'21:01:37.874';-127;-1.14
'21:01:37.874';-111;-0.08
'21:01:37.874';-95;0.21
'21:01:37.924';-80;1.07
'21:01:37.924';-69;2.01
'21:01:37.924';-64;2.01
'21:01:37.973';-66;2.01
'21:01:37.973';-74;2.01
'21:01:38.022';-83;2.01
'21:01:38.022';-90;2.13
'21:01:38.022';-93;3.2
'21:01:38.056';-95;4.28
'21:01:38.090';-92;3.54
'21:01:38.090';-85;3.18
'21:01:38.139';-75;2.3
'21:01:38.139';-68;1.54
'21:01:38.173';-62;0.94
'21:01:38.173';-57;1.41
'21:01:38.208';-51;-3.62
'21:01:38.208';-47;16.29
'21:01:38.244';-46;92.4
'21:01:38.244';-46;54.55
'21:01:38.289';-46;3.84
'21:01:38.289';-48;-25.09
'21:01:38.323';-47;-28.18
'21:01:38.356';-51;-26.51
'21:01:38.356';-51;-22.63
'21:01:38.405';-52;-17.03
'21:01:38.405';-52;-8
'21:01:38.405';-61;-0.99
'21:01:38.456';-106;1.25
'21:01:38.456';-186;0.26
'21:01:38.503';-245;-2.28
'21:01:38.503';-271;-4.82
'21:01:38.536';-276;-4.89
'21:01:38.536';-266;-4.64
'21:01:38.587';-245;-4.25
'21:01:38.587';-217;-3.55
'21:01:38.587';-187;-2.32
'21:01:38.623';-159;-1.21
'21:01:38.623';-135;0.19
'21:01:38.673';-115;1.58
'21:01:38.673';-98;2.91
'21:01:38.721';-82;4.45
'21:01:38.721';-68;6.19
'21:01:38.754';-59;7.44
'21:01:38.754';-54;7.92
'21:01:38.788';-60;8.21
'21:01:38.788';-71;10.2
'21:01:38.823';-83;13.13
'21:01:38.823';-91;12.34
'21:01:38.870';-98;9.13
'21:01:38.870';-99;7.14
'21:01:38.919';-97;5.98
'21:01:38.919';-89;5.33
'21:01:38.971';-83;4.96
'21:01:38.971';-75;1.83
'21:01:38.971';-69;-7.39
'21:01:39.018';-64;79.81
'21:01:39.018';-60;90.81
'21:01:39.055';-58;39.58
'21:01:39.055';-57;-15.49
'21:01:39.105';-57;-31.48
'21:01:39.105';-57;-28.29
'21:01:39.105';-58;-24.09
'21:01:39.138';-58;-18.27
'21:01:39.186';-60;-9.37
'21:01:39.186';-65;-0.97
'21:01:39.186';-100;4.3
'21:01:39.221';-175;4.14
'21:01:39.221';-239;1.63
'21:01:39.258';-272;-0.49
'21:01:39.293';-283;-1.42
'21:01:39.293';-278;-1.6
'21:01:39.341';-259;-1.45
'21:01:39.341';-233;-1.36
'21:01:39.341';-203;-0.75
'21:01:39.386';-175;0.36
'21:01:39.386';-150;1.68
'21:01:39.432';-130;3.37
'21:01:39.432';-113;4.78
'21:01:39.481';-98;5.77
'21:01:39.481';-83;6.42
'21:01:39.481';-70;6.83
'21:01:39.520';-63;7.1
'21:01:39.520';-63;6.67
'21:01:39.555';-69;6.34
'21:01:39.604';-79;7.41
'21:01:39.604';-88;9.6
'21:01:39.604';-95;10.03
'21:01:39.638';-98;7.68
'21:01:39.686';-96;5.46
'21:01:39.686';-91;3.52
'21:01:39.686';-83;2.27
'21:01:39.722';-76;1.21
'21:01:39.722';-69;-1.26
'21:01:39.774';-62;-12.14
'21:01:39.774';-56;64.71
'21:01:39.807';-51;93.52
'21:01:39.807';-48;34.61
'21:01:39.855';-47;-17.24
'21:01:39.855';-46;-33.34
'21:01:39.902';-47;-31.67
'21:01:39.902';-47;-27.15
'21:01:39.902';-48;-20.37
'21:01:39.938';-50;-11.05
'21:01:39.971';-56;-2.1
'21:01:39.971';-84;2.75
'21:01:40.007';-160;3.4
'21:01:40.007';-229;0.67
'21:01:40.056';-266;-4.29
'21:01:40.056';-280;-6.97
'21:01:40.106';-275;-7.41
'21:01:40.106';-255;-6.32
'21:01:40.106';-229;-5.33
'21:01:40.155';-200;-3.81
'21:01:40.155';-170;-2.65
'21:01:40.205';-146;-1.27
'21:01:40.205';-124;0.02
'21:01:40.205';-106;1.22
'21:01:40.255';-91;2.04
'21:01:40.255';-76;3.13
'21:01:40.289';-64;4.2
'21:01:40.289';-55;4.7
'21:01:40.325';-56;5.52
'21:01:40.325';-59;6.13
'21:01:40.372';-67;6.57
'21:01:40.372';-76;6.88
'21:01:40.422';-84;7.91
'21:01:40.422';-86;9.09
'21:01:40.422';-86;8.81
'21:01:40.473';-82;7.06
'21:01:40.473';-76;5.34
'21:01:40.522';-69;3.98
'21:01:40.522';-63;2.74
'21:01:40.522';-57;2.22
'21:01:40.572';-53;0.59
'21:01:40.572';-49;-8.83
'21:01:40.622';-47;59.72
'21:01:40.622';-45;89.92
'21:01:40.622';-44;34.27
'21:01:40.657';-44;-14.36
'21:01:40.703';-44;-30.23
'21:01:40.703';-45;-30.07
'21:01:40.703';-47;-27.52
'21:01:40.740';-49;-22.47
'21:01:40.787';-50;-12.73
'21:01:40.787';-55;-0.46
'21:01:40.787';-75;6.93
'21:01:40.822';-142;6.97
'21:01:40.822';-220;4.4
'21:01:40.855';-265;-0.37
'21:01:40.902';-282;-3.44
'21:01:40.902';-277;-3.69
'21:01:40.902';-260;-2.53
'21:01:40.948';-232;-1.46
'21:01:40.948';-202;1.27
'21:01:40.996';-172;3.7
'21:01:40.996';-145;5.32
'21:01:41.042';-121;6.95
'21:01:41.042';-102;9.01
'21:01:41.042';-86;10.06
'21:01:41.090';-72;10.67
'21:01:41.090';-59;11.03
'21:01:41.137';-53;11.03
'21:01:41.137';-51;10.64
'21:01:41.185';-58;10.14
'21:01:41.185';-70;10.12
'21:01:41.185';-84;11.23
'21:01:41.232';-95;12.48
'21:01:41.232';-99;12.1
'21:01:41.279';-99;10.73
'21:01:41.279';-96;9.47
'21:01:41.279';-89;8.21
'21:01:41.325';-82;7.28
'21:01:41.325';-75;5.54
'21:01:41.372';-69;-1.15
