Time;Pleth;II
hh:mm:ss.000';mV';mV'
'00:24:01.900';-9332;-3.85
'00:24:02.000';-9517;-5.6
'00:24:02.000';-10223;-2.39
'00:24:02.000';10719;2.47
'00:24:02.000';9778;8.92
'00:24:02.000';8864;11.61
'00:24:02.100';8011;10.9
'00:24:02.100';-1509;7.19
'00:24:02.100';-5720;-0.36
'00:24:02.100';-7328;-5.56
'00:24:02.100';-7689;-7.33
'00:24:02.200';-7470;-12.51
'00:24:02.200';-6998;-11.3
'00:24:02.200';-6436;-6.68
'00:24:02.200';-5862;-3.18
'00:24:02.200';-5311;2.26
'00:24:02.300';-4801;3.62
'00:24:02.300';-4331;1.83
'00:24:02.300';-3903;0.8
'00:24:02.300';-3515;0.23
'00:24:02.300';-3164;0.44
'00:24:02.400';-2848;-0.34
'00:24:02.400';-2565;-2.36
'00:24:02.400';-2310;-5.29
'00:24:02.400';-2082;-7.05
'00:24:02.400';-1876;-5.97
'00:24:02.500';-1689;-5.98
'00:24:02.500';-1522;-4.54
'00:24:02.500';-1373;17.01
'00:24:02.500';-1241;50.31
'00:24:02.600';-1121;11.59
'00:24:02.600';-1012;-55.62
'00:24:02.600';-916;-42.71
'00:24:02.600';-829;-32.63
'00:24:02.600';-751;-25.32
'00:24:02.700';-681;-23.41
'00:24:02.700';-618;-18.89
'00:24:02.700';-560;-18.47
'00:24:02.700';-510;-20
'00:24:02.700';-476;-20
'00:24:02.800';-455;-16.28
'00:24:02.800';-444;-4.69
'00:24:02.800';-438;17.56
'00:24:02.800';-430;37.84
'00:24:02.900';-422;38.69
'00:24:02.900';-415;33.43
'00:24:02.900';-406;24.81
'00:24:02.900';-396;12.84
'00:24:02.900';-387;5.27
'00:24:03.000';-374;3.36
'00:24:03.000';-357;5.39
'00:24:03.000';-337;8.74
'00:24:03.000';-314;10.53
'00:24:03.000';-287;10.33
'00:24:03.000';-261;9.96
'00:24:03.100';-237;9.72
'00:24:03.100';-217;11.04
'00:24:03.100';-201;14.34
'00:24:03.100';-186;21.97
'00:24:03.100';-175;26.76
'00:24:03.200';-162;26.38
'00:24:03.200';-150;24.14
'00:24:03.200';-137;22.63
'00:24:03.200';-124;20.03
'00:24:03.200';-114;17.02
'00:24:03.200';-107;44.04
'00:24:03.300';-99;44.77
'00:24:03.300';-91;13.15
'00:24:03.300';-85;-56.68
'00:24:03.300';-80;-52.53
'00:24:03.400';-75;-49.41
'00:24:03.400';-71;-41.73
'00:24:03.400';-67;-31.94
'00:24:03.400';-62;-16.85
'00:24:03.400';-58;0.02
'00:24:03.500';-59;5.63
'00:24:03.500';-64;6.95
'00:24:03.500';-80;6.97
'00:24:03.500';-101;6.98
'00:24:03.500';-124;6.98
'00:24:03.500';-145;7.91
'00:24:03.600';-163;8.8
'00:24:03.600';-179;8.85
'00:24:03.600';-192;9.26
'00:24:03.600';-202;9.78
'00:24:03.700';-207;9.63
'00:24:03.700';8527;10.04
'00:24:03.700';-9823;10.56
'00:24:03.700';-8855;12.14
'00:24:03.800';4038;14.66
'00:24:03.800';-194;18.14
'00:24:03.800';-2090;21.74
'00:24:03.800';-2838;20.55
'00:24:03.800';-3034;19.64
'00:24:03.800';-2970;16.97
'00:24:03.800';-2798;11.5
'00:24:03.900';-2582;2.67
'00:24:03.900';-2356;-2.33
'00:24:03.900';-2138;-6.3
'00:24:03.900';-1933;31.61
'00:24:04.000';-1747;49.75
'00:24:04.000';-1578;1.42
'00:24:04.000';-1424;-53.18
'00:24:04.000';-1284;-39.21
'00:24:04.000';-1158;-32.83
'00:24:04.100';-1047;-21.5
'00:24:04.100';-947;-9.21
'00:24:04.100';-854;-2.57
'00:24:04.100';-770;6.84
'00:24:04.100';-697;13.55
'00:24:04.100';-638;16.6
'00:24:04.200';-593;20.5
'00:24:04.200';-564;24.41
'00:24:04.200';-542;28.82
'00:24:04.200';-521;26.06
'00:24:04.300';-502;19.61
'00:24:04.300';-482;14.11
'00:24:04.300';-462;11.99
'00:24:04.300';-443;11.15
'00:24:04.400';8315;8.75
'00:24:04.400';-10016;5.19
'00:24:04.400';-9032;1.34
'00:24:04.400';-9232;0.29
'00:24:04.400';-9953;0.55
'00:24:04.500';2235;-0.98
'00:24:04.500';-2223;-3.08
'00:24:04.500';-4120;-5.76
'00:24:04.500';-4769;-8.11
'00:24:04.500';-4824;-6.55
'00:24:04.500';-4607;-5.31
'00:24:04.600';-4280;-4.25
'00:24:04.600';-3922;-2.68
'00:24:04.600';-3565;-1.52
'00:24:04.600';-3227;-1.07
'00:24:04.600';-2914;10.26
'00:24:04.700';-2627;63.6
'00:24:04.700';-2368;33.15
'00:24:04.700';-2135;-35.42
'00:24:04.700';-1924;-20.9
'00:24:04.700';-1732;-12.57
'00:24:04.800';-1562;-13.43
'00:24:04.800';-1410;-12.85
'00:24:04.800';-1271;-10.67
'00:24:04.800';-1144;-3.1
'00:24:04.800';-1032;6.93
'00:24:04.900';-938;6.97
'00:24:04.900';-864;5.85
'00:24:04.900';-806;6.56
'00:24:04.900';-757;7.83
'00:24:05.000';-717;8.46
'00:24:05.000';-680;8.34
'00:24:05.000';-643;6.76
'00:24:05.000';-612;4.38
'00:24:05.000';-577;-0.82
'00:24:05.000';-545;-5.06
'00:24:05.000';8225;-7.85
'00:24:05.100';-10092;-8.34
'00:24:05.100';-9097;-7.58
'00:24:05.100';-9289;-4.85
'00:24:05.100';3105;-2.4
'00:24:05.100';-1301;-3.38
'00:24:05.200';-3221;-3.58
'00:24:05.200';-3925;-4.7
'00:24:05.200';-4048;-3.44
'00:24:05.200';-3904;0.93
'00:24:05.200';-3645;8.5
'00:24:05.300';-3346;12.01
'00:24:05.300';-3044;12.95
'00:24:05.300';-2759;10.44
'00:24:05.300';-2494;6.48
'00:24:05.300';-2249;3.65
'00:24:05.400';-2026;1.7
'00:24:05.400';-1824;2.2
'00:24:05.400';-1644;2.14
'00:24:05.400';-1484;16.41
'00:24:05.500';-1339;46.12
'00:24:05.500';-1208;9.25
'00:24:05.500';-1088;-63.68
'00:24:05.500';-983;-47.05
'00:24:05.500';-890;-36.24
'00:24:05.600';-805;-27.08
'00:24:05.600';-727;-20.94
'00:24:05.600';-657;-14.37
'00:24:05.600';-593;-5.42
'00:24:05.600';-541;-1.04
'00:24:05.700';-499;2.02
'00:24:05.700';-473;6.95
'00:24:05.700';-457;7.46
'00:24:05.700';-446;9.39
'00:24:05.700';-438;12.77
'00:24:05.700';-427;14.9
'00:24:05.800';-419;13.79
'00:24:05.800';-409;9.23
'00:24:05.800';-395;5.16
'00:24:05.800';-382;0.5
'00:24:05.900';-367;-3.58
'00:24:05.900';-349;-0.01
'00:24:05.900';-328;4.07
'00:24:05.900';-303;9.13
'00:24:05.900';-276;16.44
'00:24:05.900';-251;12.35
'00:24:06.000';-229;10.22
'00:24:06.000';-209;14.67
'00:24:06.000';-190;15.74
'00:24:06.000';-172;12.57
